Systematic Name,Standard Name,Qualifier a,Mean molecules per cell,Median molecules per cell,Coefficient of Variation,LU,PENG,KUL,LAW,LAHT,DGD,LEE2,THAK,NAG,PIC,WEB,TKA,BRE,DEN,MAZ,CHO,YOF,NEW,LEE,DAV,GHA
YJL094C,KHA1,Verified,676,512,93,,1498,43,,,,,,,,512,,1157,,,,,,,,172
YHR032W,ERC1,Verified,513,513,,,513,,,,,,,,,,,,,,,,,,,
YOL100W,PKH2,Verified,1116,515,93,,515,229,476,,1861,,,3036,,361,,1336,,,,,,,,
YDR160W,SSY1,Verified,515,515,,515,,,,,,,,,,,,,,,,,,,,
YKL038W,RGT1,Verified,712,520,80,,1164,17,520,,1238,,,,,392,,1458,,,,,,,,195
YPR120C,CLB5,Verified,521,521,,,,,,,,,,,,,,,,,,,,,,521
YBR201W,DER1,Verified,553,522,89,,,57,1112,,,,,806,,,,,,,,,,,,238
YNL029C,KTR5,Verified,515,523,67,585,996,22,,,,,,,,523,,,,,,,,,,450
YIL071C,PCI8,Verified,924,523,98,,,17,,,,,,,,523,,1241,,,,,,2334,,504
YLR241W,CSC1,Verified,1175,523,99,,523,267,,325,1358,,3415,1915,,422,,,,,,,,,,
YLL035W,GRC3,Verified,650,523,79,,563,178,,,,,,484,,1377,,,,,,,,,,
YBR184W,YBR184W,Uncharacterized,528,528,,528,,,,,,,,,,,,,,,,,,,,
YCR081W,SRB8,Verified,751,534,85,,723,89,,,323,,,,,345,,1294,,,,,,,,1730
YKL133C,YKL133C,Uncharacterized,1699,535,141,4452,535,110,,,,,,,,,,,,,,,,,,
YDL028C,MPS1,Verified,719,536,96,,155,10,,,536,,,,,,,1388,,,1506,,,,,
YDR131C,YDR131C,Verified,544,538,78,,970,124,,,,,,538,,,,,,,,,,,,
YLR131C,ACE2,Verified,1174,538,96,339,422,48,,,2629,,,3219,,329,,1553,,,1489,,,,,538
YJL106W,IME2,Verified,538,538,,538,,,,,,,,,,,,,,,,,,,,
YJR054W,KCH1,Verified,592,538,95,,,60,,,,,,,,,,1177,,,,,,,,538
YMR257C,PET111,Verified,538,538,,,,,,,,,,,,,,,,,,,,,,538
YMR013C,SEC59,Verified,588,538,100,,1198,27,,,,,,538,,,,,,,,,,,,
YIL134W,FLX1,Verified,539,539,,,,,,,,,,,,539,,,,,,,,,,
YDR409W,SIZ1,Verified,831,540,84,,776,46,,,529,,,413,,540,2150,1317,,,1563,,,,,149
YJL090C,DPB11,Verified,1537,540,185,,548,214,,,134,7932,,107,,,,1287,,,,,,,,540
YLR392C,ART10,Verified,707,540,78,919,1659,118,,,282,,,292,,345,,1309,,,,,,,,736
YHL016C,DUR3,Verified,873,541,85,,541,,,,354,,,,,,,1725,,,,,,,,
YBL009W,ALK2,Verified,626,541,78,,608,22,,,1224,,,246,,474,,1184,,,,,,,,
YJL162C,JJJ2,Verified,676,542,95,,542,51,,,1635,,,,,969,,,,,,,,,,184
YBR276C,PPS1,Verified,1295,542,130,,542,85,,,,,,4193,,313,,1342,,,,,,,,
YBL025W,RRN10,Verified,1408,543,131,,3524,157,,,,,,543,,,,,,,,,,,,
YML118W,NGL3,Verified,639,545,71,,675,209,,,,,,,,,,1256,,,,,,,,414
YBR098W,MMS4,Verified,633,545,92,,714,42,,,1399,,,,,376,,,,,,,,,,
YHR078W,YHR078W,Uncharacterized,606,550,90,,,25,,,,,,739,,360,,1302,,,,,,,,
YOR092W,ECM3,Verified,792,551,86,,1785,55,,,551,,,413,,,,1155,,,,,,,,
YGR287C,IMA1,Verified,489,556,62,,,160,,,,,,,,556,,,,,,,,,,752
YDL069C,CBS1,Verified,435,556,87,,,11,,,,,,738,,,,,,,,,,,,556
YDR128W,MTC5,Verified,733,556,76,240,921,79,,,1117,,,,,515,,1705,,,,,,,,556
YLR154C,RNH203,Verified,2416,556,151,,10269,471,,,172,,,528,3595,,,1324,,,,,,,,556
YLR424W,SPP382,Verified,732,556,88,,692,66,,,125,,,1681,,448,,,,,1556,,,,,556
YLR247C,IRC20,Verified,800,558,85,,447,113,,,1297,,,650,,465,,1192,,,,,,2092,,143
YPR031W,NTO1,Verified,649,560,86,776,235,44,,,560,,,,,1412,,1346,,,,,,,,172
YDR242W,AMD2,Verified,579,561,100,,561,12,,,,,,,,,,1165,,,,,,,,
YOR330C,MIP1,Verified,929,562,96,2216,167,27,,,747,,,,,213,,1995,,,1693,,,,,377
YGL257C,MNT2,Verified,583,562,70,,,15,,,562,,,613,,556,,,,,,,,,,1170
YOR264W,DSE3,Verified,2423,566,169,8549,,10,,,,,,211,,,,,,,,,,,,922
YML042W,CAT2,Verified,1474,569,141,,1524,172,,,,,5604,688,,406,,,,,,,,,,450
YMR053C,STB2,Verified,668,570,75,570,226,,,,,,,,,,,1208,,,,,,,,
YOR032C,HMS1,Verified,571,571,,,571,,,,,,,,,,,,,,,,,,,
YBR270C,BIT2,Verified,572,572,137,,,16,,,,,,,,,,1128,,,,,,,,
YPR084W,YPR084W,Uncharacterized,535,572,81,,584,66,,,247,,,,,572,,1207,,,,,,,,
YLL057C,JLP1,Verified,573,573,,573,,,,,,,,,,,,,,,,,,,,
YMR172W,HOT1,Verified,2329,573,190,,1326,39,,,731,11311,,,,415,,,,,,,,,,149
YPR196W,YPR196W,Uncharacterized,574,574,140,,,7,,,,,,,,,,1141,,,,,,,,
YGR108W,CLB1,Verified,576,576,68,,,,,,851,,,,,,,,,,,,,,,300
